Rank,First_Name,Last_Name,YOB,NOC,TotalPoints,EvsCurr,EvsPrev,PtsCurr,PtsPrev
556,Žiga,Podgoršek,2003,SLO,102.02,2,0,102,0
557,Matias,Campi,2001,ARG,101.66,3,0,102,0
558,Lautaro,Delgado,2002,ARG,101.42,3,0,101,0
559,Shachar,Agur,2002,ISR,101.36,4,2,88,14
560,Marcel,Lehmberg,1992,GER,101.3,3,0,101,0
561,Džiugas,Karklelis,2003,LTU,99.87,2,0,100,0
562,Balte,Thijs,2003,BEL,99.53,2,0,100,0
563,Simeon,Dolinschek,2005,AUT,99.15,1,0,99,0
564,Dorian,Horsten,2001,NED,98.36,3,0,98,0
565,Fabian,Roman,1992,PUR,97.02,2,1,85,12
566,Carter,Stuhlmacher,2004,USA,96.3,1,0,96,0
567,Zakaria,Chtioui,2004,TUN,96.26,1,0,96,0
568,Alexandru,Ion,1998,ROU,93.82,2,1,83,11
569,Allan,Naranjo Avendaño,2002,CRC,93.75,1,0,94,0
569,Niel,Skinner,2003,BAR,93.75,1,0,94,0
571,Döme,Hornyák,2001,HUN,93.35,3,0,93,0
572,Yegor,Krupyakov,2004,KAZ,93.26,1,0,93,0
573,Cesar,Saracho,1994,MEX,93.24,0,3,0,93
574,Kamil,Kulik,2003,POL,93.13,4,0,93,0
575,Jackson,Laundry,1993,CAN,92.79,1,0,93,0
576,Alessandro,De Angelis,2001,ITA,92.26,3,3,44,48
577,Marco,Van Der Stel,1991,NED,91.35,1,2,43,49
578,Lubo,Zhang,2003,CHN,90.46,2,0,90,0
579,Mateo,Pesantez,2005,ECU,90.23,2,0,90,0
580,Reece,Harris,2000,AUS,90.12,1,0,90,0
581,Ben,Cumberland,2003,GBR,90.03,1,0,90,0
582,David,Alvarado Chou,1999,CRC,89.93,1,2,74,16
583,Niall,Cornyn,1996,IRL,89.75,2,1,78,11
584,Xunyu,Bai,1994,CHN,88.97,1,0,89,0
585,Uzziel,Valderrabano Chavez,2002,MEX,87.55,2,0,88,0
586,Andrew,Gordon,1987,GIB,87.5,2,0,88,0
587,Adnan,Alsafadi,2004,SYR,86.91,1,0,87,0
588,Christiaan,Jansen,2007,ARU,86.72,1,0,87,0
588,Rodrigo Marcelo,Leaño Alconz,2001,BOL,86.72,1,0,87,0
588,Sebastian,Morales Arce,2004,CRC,86.72,1,0,87,0
591,Andres,Cendan Llorens,1997,ESP,86.57,1,3,40,46
592,Miguel,Espuna Larramona,2004,ITA,86.39,1,1,45,42
593,Alexandr,Ten,2004,KAZ,86.27,1,0,86,0
594,Joe,Sherman,2003,GBR,85.96,2,1,84,2
