Rank,First_Name,Last_Name,YOB,NOC,TotalPoints,EvsCurr,EvsPrev,PtsCurr,PtsPrev
557,Céline,Marks,1996,CAN,51.03,1,2,20,31
558,Józefina,Młynarska,2003,POL,50.11,2,1,49,1
559,Anna,Bergsten,NA,SWE,50,1,0,50,0
559,Amy,Cox,1994,BAR,50,1,0,50,0
559,Hannah Judithe,Eriksen,1998,NOR,50,1,0,50,0
559,Krista,Kuusijarvi,NA,MLT,50,1,0,50,0
559,Natalie,Leonhardt,1990,GIB,50,1,0,50,0
559,Bianka,Moreno,1997,PAN,50,1,0,50,0
559,Katrín,Pálsdóttir,1984,ISL,50,1,0,50,0
559,Adrianna,Skurosz,NA,COK,50,1,0,50,0
559,Birsu,Ulkat,2001,TUR,50,1,0,50,0
559,Becky,Woods,1988,IRL,50,1,0,50,0
559,Gabriella,Zelinka,1991,HUN,50,1,0,50,0
570,Melissa,Rios,1987,PUR,49.83,1,1,38,12
571,Beatrice,Normand,2006,CAN,49.63,1,0,50,0
572,Matilde,Locatelli,2003,ITA,49.51,2,0,50,0
573,Anna,Witteveen,1999,NED,49.42,1,1,44,6
574,Gabby,Martin,2004,USA,49.04,1,1,44,5
575,Zoe,Clarke,2002,AUS,48.22,0,2,0,48
576,Tereza,Svobodova,2000,CZE,47.88,1,1,35,13
577,Karen Guadalupe,Castro Rivas,2005,MEX,47.74,1,0,48,0
578,Magdalena,Stankovska,2004,MKD,47.02,1,1,35,12
579,Miona,Bošković,2003,SRB,46.25,1,0,46,0
579,Sigurlaug,Helgadóttir,1992,ISL,46.25,1,0,46,0
579,Simone,Kumhofer,1983,AUT,46.25,1,0,46,0
579,Claudia,Lainez,NA,PAN,46.25,1,0,46,0
579,Szofia,Malatinszky,1979,HUN,46.25,1,0,46,0
579,Kristina,Starheim,1989,NOR,46.25,1,0,46,0
579,Ipek,Uyar,2002,TUR,46.25,1,0,46,0
579,Siyu,Wang,2000,CHN,46.25,1,0,46,0
579,Min Chuan,Wu,2000,TPE,46.25,1,0,46,0
588,Charlotte,Faivre,2002,FRA,45.92,1,1,32,14
589,Liliana Alejandra,Raga Prieto,1994,COL,45.1,0,2,0,45
590,Piera,Charnay,2004,CHI,44.16,1,0,44,0
591,Lilli,Gelmini,1994,ITA,44.04,1,1,40,4
592,Gillian,Backhouse,1991,AUS,43.85,0,1,0,44
593,Laura,Moreau,2003,FRA,43.77,1,0,44,0
594,Kerttu-Liis,Laane,1997,EST,42.87,1,1,30,13
595,Yixuan,Chen,2005,CHN,42.78,1,0,43,0
595,Hui Ming,Chuang,2000,TPE,42.78,1,0,43,0
595,Erika,Csomor,1973,HUN,42.78,1,0,43,0
595,Jacqueline,Kallina,1990,AUT,42.78,1,0,43,0
595,Raquel,Rocha,1993,POR,42.78,1,0,43,0
595,Ine,Skjellum,1998,NOR,42.78,1,0,43,0
